scenario,average_type,season,h7,h14,h21,h28
all_cells,macro_row_bss,autumn,-23.024033830519624,-23.840837270485487,-24.868376080348163,-25.612431038150742
all_cells,macro_row_bss,spring,-26.91665268899599,-28.816906991777756,-27.49681537931036,-28.872776762810464
all_cells,macro_row_bss,summer,-136.34358319869054,-163.95157322513862,-173.57756026986254,-159.439454092872
all_cells,macro_row_bss,winter,-14.612583230136254,-17.214408094899454,-19.0691320488743,-18.60578818817057
all_cells,macro_row_bss,ALL_INCLUDED,-48.73096445709428,-56.577240068071674,-59.18598677552409,-56.22958010184429
all_cells,weighted_aggregate_bss,autumn,-1.6302831344928261,-1.7963959530925417,-1.8000727979324118,-1.7667022092553797
all_cells,weighted_aggregate_bss,spring,-2.5893996577897154,-2.494392528775117,-2.352122395366525,-2.4528332293005586
all_cells,weighted_aggregate_bss,summer,-3.654738461336083,-3.6870968425700568,-4.151801204516913,-3.91947976993358
all_cells,weighted_aggregate_bss,winter,-0.1506891354403046,-0.2834922821455528,-0.36417196203688285,-0.3116825599900641
all_cells,weighted_aggregate_bss,ALL_INCLUDED,-1.1348665742939184,-1.2678921631021969,-1.3138051943732179,-1.278394428130976
exclude_summer,macro_row_bss,autumn,-23.024033830519624,-23.840837270485487,-24.868376080348163,-25.612431038150742
exclude_summer,macro_row_bss,spring,-26.91665268899599,-28.816906991777756,-27.49681537931036,-28.872776762810464
exclude_summer,macro_row_bss,winter,-14.612583230136254,-17.214408094899454,-19.0691320488743,-18.60578818817057
exclude_summer,macro_row_bss,ALL_INCLUDED,-21.668096265462363,-23.4680584934882,-23.919727028443234,-24.491332466105703
exclude_summer,weighted_aggregate_bss,autumn,-1.6302831344928261,-1.7963959530925417,-1.8000727979324118,-1.7667022092553797
exclude_summer,weighted_aggregate_bss,spring,-2.5893996577897154,-2.494392528775117,-2.352122395366525,-2.4528332293005586
exclude_summer,weighted_aggregate_bss,winter,-0.1506891354403046,-0.2834922821455528,-0.36417196203688285,-0.3116825599900641
exclude_summer,weighted_aggregate_bss,ALL_INCLUDED,-0.9462912189191679,-1.0808513466394611,-1.0936433815526891,-1.0765216587418847
exclude_low_support_cells,macro_row_bss,autumn,-23.024033830519624,-23.840837270485487,-24.868376080348163,-25.612431038150742
exclude_low_support_cells,macro_row_bss,spring,-26.91665268899599,-28.816906991777756,-27.49681537931036,-28.872776762810464
exclude_low_support_cells,macro_row_bss,winter,-14.612583230136254,-17.214408094899454,-19.0691320488743,-18.60578818817057
exclude_low_support_cells,macro_row_bss,ALL_INCLUDED,-21.668096265462363,-23.4680584934882,-23.919727028443234,-24.491332466105703
exclude_low_support_cells,weighted_aggregate_bss,autumn,-1.6302831344928261,-1.7963959530925417,-1.8000727979324118,-1.7667022092553797
exclude_low_support_cells,weighted_aggregate_bss,spring,-2.5893996577897154,-2.494392528775117,-2.352122395366525,-2.4528332293005586
exclude_low_support_cells,weighted_aggregate_bss,winter,-0.1506891354403046,-0.2834922821455528,-0.36417196203688285,-0.3116825599900641
exclude_low_support_cells,weighted_aggregate_bss,ALL_INCLUDED,-0.9462912189191679,-1.0808513466394611,-1.0936433815526891,-1.0765216587418847
