variant,season_or_regime,horizon,n_positive_total,model_brier_weighted,persistence_brier_weighted,global_climatology_brier_weighted,seasonal_or_regime_climatology_brier_weighted,bss_vs_persistence_weighted,bss_vs_global_climatology_weighted,bss_vs_seasonal_or_regime_climatology_weighted
A_p90_exclude_summer,winter,7,103,0.2460198969801607,0.335064935064935,0.2256604337181352,0.2219888505378349,0.2657545710282025,-0.0902216792131833,-0.1082533937362317
A_p90_exclude_summer,winter,14,97,0.2608397247478742,0.3184210526315789,0.2160425404683616,0.2126684932122025,0.1808339222794033,-0.2073535340882224,-0.2265085476841462
A_p90_exclude_summer,winter,21,91,0.2737724405052756,0.2810810810810811,0.2083850628406315,0.2052329174347912,0.0260018943562311,-0.3137815003307165,-0.3339596977286132
A_p90_exclude_summer,winter,28,90,0.266644525995695,0.3235294117647059,0.2038955268704198,0.203452959434454,0.175826010558761,-0.3077507392555678,-0.3105954650986495
A_p90_exclude_summer,spring,7,33,0.2374145301644366,0.1431767337807606,0.0687162787851381,0.0676734455554284,-0.6581921091172371,-2.454996899741672,-2.508237658299525
A_p90_exclude_summer,spring,14,30,0.2460162517994422,0.1486486486486486,0.0638177722912283,0.0663470401207653,-0.655018421196248,-2.8549802502782873,-2.7080215085954396
A_p90_exclude_summer,spring,21,34,0.2309876330184982,0.1651785714285714,0.0703509939520479,0.0705068524238404,-0.3984116161119897,-2.2833599078350235,-2.276101897585129
A_p90_exclude_summer,spring,28,34,0.2388780365294015,0.1700223713646532,0.0704713206964433,0.071066551225101,-0.4049800306400328,-2.3897198770883517,-2.361328675888086
A_p90_exclude_summer,autumn,7,29,0.1968995496949207,0.1019283746556473,0.0740381939564772,0.0743472252674844,-0.9317442307907092,-1.6594321008244268,-1.648377918429651
A_p90_exclude_summer,autumn,14,29,0.2071248941638884,0.1382113821138211,0.0728764899454125,0.0728490184592876,-0.4986095283622516,-1.8421359799166148,-1.84320775412564
A_p90_exclude_summer,autumn,21,29,0.2051505332403312,0.1452513966480447,0.0747363377798585,0.0753073337277973,-0.4123825173084341,-1.744990446877626,-1.7241773554466748
