station_id,season_type,season,horizon,n_samples,n_positive_events,positive_rate
Avda. Francia,origin_season,autumn,7,60,6,0.1
Avda. Francia,origin_season,autumn,14,62,7,0.11290322580645161
Avda. Francia,origin_season,autumn,21,63,8,0.12698412698412698
Avda. Francia,origin_season,autumn,28,64,10,0.15625
Avda. Francia,origin_season,spring,7,66,4,0.06060606060606061
Avda. Francia,origin_season,spring,14,66,4,0.06060606060606061
Avda. Francia,origin_season,spring,21,66,4,0.06060606060606061
Avda. Francia,origin_season,spring,28,66,5,0.07575757575757576
Avda. Francia,origin_season,summer,7,60,4,0.06666666666666667
Avda. Francia,origin_season,summer,14,58,4,0.06896551724137931
Avda. Francia,origin_season,summer,21,57,4,0.07017543859649122
Avda. Francia,origin_season,summer,28,56,3,0.05357142857142857
Avda. Francia,origin_season,winter,7,61,28,0.45901639344262296
Avda. Francia,origin_season,winter,14,61,26,0.4262295081967213
Avda. Francia,origin_season,winter,21,61,25,0.4098360655737705
Avda. Francia,origin_season,winter,28,61,23,0.3770491803278688
Bulevard Sud,origin_season,autumn,7,29,1,0.034482758620689655
Bulevard Sud,origin_season,autumn,14,27,1,0.037037037037037035
Bulevard Sud,origin_season,autumn,21,28,1,0.03571428571428571
Bulevard Sud,origin_season,autumn,28,26,1,0.038461538461538464
Bulevard Sud,origin_season,spring,7,57,4,0.07017543859649122
Bulevard Sud,origin_season,spring,14,55,3,0.05454545454545454
Bulevard Sud,origin_season,spring,21,54,3,0.05555555555555555
Bulevard Sud,origin_season,spring,28,50,2,0.04
Bulevard Sud,origin_season,summer,7,34,0,0.0
Bulevard Sud,origin_season,summer,14,34,0,0.0
Bulevard Sud,origin_season,summer,21,30,0,0.0
Bulevard Sud,origin_season,summer,28,31,0,0.0
Bulevard Sud,origin_season,winter,7,38,10,0.2631578947368421
Bulevard Sud,origin_season,winter,14,42,10,0.23809523809523808
Bulevard Sud,origin_season,winter,21,46,10,0.21739130434782608
Bulevard Sud,origin_season,winter,28,52,11,0.21153846153846154
Moli del Sol,origin_season,autumn,7,59,7,0.11864406779661017
Moli del Sol,origin_season,autumn,14,60,7,0.11666666666666667
Moli del Sol,origin_season,autumn,21,62,8,0.12903225806451613
Moli del Sol,origin_season,autumn,28,63,10,0.15873015873015872
Moli del Sol,origin_season,spring,7,65,3,0.046153846153846156
Moli del Sol,origin_season,spring,14,65,2,0.03076923076923077
Moli del Sol,origin_season,spring,21,65,3,0.046153846153846156
Moli del Sol,origin_season,spring,28,65,2,0.03076923076923077
Moli del Sol,origin_season,summer,7,64,2,0.03125
Moli del Sol,origin_season,summer,14,63,2,0.031746031746031744
Moli del Sol,origin_season,summer,21,61,2,0.03278688524590164
Moli del Sol,origin_season,summer,28,60,3,0.05
Moli del Sol,origin_season,winter,7,64,25,0.390625
Moli del Sol,origin_season,winter,14,64,24,0.375
Moli del Sol,origin_season,winter,21,64,22,0.34375
Moli del Sol,origin_season,winter,28,64,22,0.34375
Pista Silla,origin_season,autumn,7,65,5,0.07692307692307693
Pista Silla,origin_season,autumn,14,64,6,0.09375
Pista Silla,origin_season,autumn,21,64,6,0.09375
Pista Silla,origin_season,autumn,28,64,7,0.109375
Pista Silla,origin_season,spring,7,63,3,0.047619047619047616
Pista Silla,origin_season,spring,14,63,3,0.047619047619047616
Pista Silla,origin_season,spring,21,64,3,0.046875
Pista Silla,origin_season,spring,28,63,3,0.047619047619047616
Pista Silla,origin_season,summer,7,60,1,0.016666666666666666
Pista Silla,origin_season,summer,14,60,1,0.016666666666666666
Pista Silla,origin_season,summer,21,60,1,0.016666666666666666
Pista Silla,origin_season,summer,28,61,1,0.01639344262295082
Pista Silla,origin_season,winter,7,62,11,0.1774193548387097
Pista Silla,origin_season,winter,14,63,9,0.14285714285714285
Pista Silla,origin_season,winter,21,62,9,0.14516129032258066
Pista Silla,origin_season,winter,28,62,7,0.11290322580645161
Politecnico,origin_season,autumn,7,62,2,0.03225806451612903
Politecnico,origin_season,autumn,14,62,3,0.04838709677419355
Politecnico,origin_season,autumn,21,62,3,0.04838709677419355
Politecnico,origin_season,autumn,28,62,4,0.06451612903225806
Politecnico,origin_season,spring,7,56,2,0.03571428571428571
Politecnico,origin_season,spring,14,56,2,0.03571428571428571
Politecnico,origin_season,spring,21,56,2,0.03571428571428571
Politecnico,origin_season,spring,28,56,2,0.03571428571428571
Politecnico,origin_season,summer,7,64,2,0.03125
Politecnico,origin_season,summer,14,64,2,0.03125
Politecnico,origin_season,summer,21,64,2,0.03125
Politecnico,origin_season,summer,28,65,1,0.015384615384615385
Politecnico,origin_season,winter,7,64,14,0.21875
Politecnico,origin_season,winter,14,64,12,0.1875
Politecnico,origin_season,winter,21,64,12,0.1875
Politecnico,origin_season,winter,28,63,12,0.19047619047619047
Puerto Moll Trans. Ponent,origin_season,autumn,7,26,4,0.15384615384615385
Puerto Moll Trans. Ponent,origin_season,autumn,14,26,4,0.15384615384615385
Puerto Moll Trans. Ponent,origin_season,autumn,21,26,4,0.15384615384615385
Puerto Moll Trans. Ponent,origin_season,autumn,28,26,4,0.15384615384615385
Puerto Moll Trans. Ponent,origin_season,spring,7,26,5,0.19230769230769232
Puerto Moll Trans. Ponent,origin_season,spring,14,26,4,0.15384615384615385
Puerto Moll Trans. Ponent,origin_season,spring,21,26,4,0.15384615384615385
Puerto Moll Trans. Ponent,origin_season,spring,28,26,3,0.11538461538461539
Puerto Moll Trans. Ponent,origin_season,summer,7,24,0,0.0
Puerto Moll Trans. Ponent,origin_season,summer,14,24,0,0.0
Puerto Moll Trans. Ponent,origin_season,summer,21,24,0,0.0
Puerto Moll Trans. Ponent,origin_season,summer,28,24,1,0.041666666666666664
Puerto Moll Trans. Ponent,origin_season,winter,7,22,8,0.36363636363636365
Puerto Moll Trans. Ponent,origin_season,winter,14,22,8,0.36363636363636365
Puerto Moll Trans. Ponent,origin_season,winter,21,22,9,0.4090909090909091
Puerto Moll Trans. Ponent,origin_season,winter,28,22,10,0.45454545454545453
Puerto Valencia,origin_season,autumn,7,13,5,0.38461538461538464
Puerto Valencia,origin_season,autumn,14,13,5,0.38461538461538464
