variant,season_or_regime,horizon,n_samples_total,n_positive_total,positive_rate,model_brier_weighted,persistence_brier_weighted,global_climatology_brier_weighted,seasonal_or_regime_climatology_brier_weighted,bss_vs_persistence_weighted,bss_vs_global_climatology_weighted,bss_vs_seasonal_or_regime_climatology_weighted,roc_auc,pr_auc,support_ok,folds_with_positive_events
A_p90_exclude_summer,autumn,7,363,29,0.07988980716253444,0.19689954969492077,0.10192837465564739,0.07403819395647729,0.07434722526748443,-0.9317442307907091,-1.6594321008244268,-1.648377918429651,,,False,18
A_p90_exclude_summer,autumn,14,369,29,0.07859078590785908,0.20712489416388843,0.13821138211382114,0.07287648994541256,0.07284901845928761,-0.4986095283622516,-1.8421359799166148,-1.8432077541256402,,,False,15
A_p90_exclude_summer,autumn,21,358,29,0.08100558659217877,0.20515053324033122,0.1452513966480447,0.07473633777985858,0.07530733372779737,-0.4123825173084341,-1.744990446877626,-1.7241773554466748,,,False,16
A_p90_exclude_summer,autumn,28,365,31,0.08493150684931507,0.2110457929424526,0.1589041095890411,0.07805426283790394,0.0784398955199688,-0.32813300731026196,-1.7038342976953542,-1.69054148457816,0.6500869229283369,0.12928261319754408,True,18
A_p90_exclude_summer,spring,7,447,33,0.0738255033557047,0.23741453016443664,0.14317673378076062,0.06871627878513813,0.06767344555542844,-0.6581921091172371,-2.454996899741672,-2.508237658299525,0.7026057678231592,0.14674377139452646,True,18
A_p90_exclude_summer,spring,14,444,30,0.06756756756756757,0.24601625179944228,0.14864864864864866,0.06381777229122837,0.0663470401207653,-0.655018421196248,-2.8549802502782873,-2.7080215085954396,0.6755233494363929,0.12373018534052112,True,16
A_p90_exclude_summer,spring,21,448,34,0.07589285714285714,0.23098763301849828,0.16517857142857142,0.0703509939520479,0.07050685242384043,-0.3984116161119897,-2.2833599078350235,-2.276101897585129,0.6540210287013356,0.13647162729551016,True,18
A_p90_exclude_summer,spring,28,447,34,0.07606263982102908,0.23887803652940157,0.17002237136465326,0.0704713206964433,0.07106655122510101,-0.40498003064003285,-2.3897198770883517,-2.3613286758880854,0.648910411622276,0.1586378360577045,True,18
A_p90_exclude_summer,winter,7,385,103,0.2675324675324675,0.2460198969801607,0.33506493506493507,0.22566043371813527,0.22198885053783493,0.26575457102820255,-0.09022167921318336,-0.10825339373623177,0.6751015630379398,0.4302735139301058,True,33
A_p90_exclude_summer,winter,14,380,97,0.25526315789473686,0.2608397247478742,0.31842105263157894,0.2160425404683616,0.2126684932122025,0.18083392227940331,-0.20735353408822244,-0.2265085476841462,0.6459509671778806,0.3768311948070334,True,32
A_p90_exclude_summer,winter,21,370,91,0.24594594594594596,0.2737724405052756,0.2810810810810811,0.20838506284063157,0.20523291743479127,0.026001894356231126,-0.3137815003307165,-0.3339596977286132,0.6051045728465083,0.3314217628054008,True,32
A_p90_exclude_summer,winter,28,374,90,0.24064171122994651,0.266644525995695,0.3235294117647059,0.2038955268704198,0.20345295943445404,0.17582601055876101,-0.30775073925556784,-0.31059546509864955,0.6306729264475744,0.3752581750473218,True,32
B_p85_all_seasons,autumn,7,363,43,0.1184573002754821,0.1941140816549231,0.15702479338842976,0.10528160494897491,0.10464801057840999,-0.23620020422345767,-0.8437606621688676,-0.854923763786972,0.7154796511627907,0.20290056565418502,True,23
B_p85_all_seasons,autumn,14,369,45,0.12195121951219512,0.20530626447119024,0.1951219512195122,0.1076140571059739,0.10616246014974814,-0.05219460541484988,-0.9078015455640065,-0.9338875924841432,0.636076817558299,0.1747486538651967,True,23
